master_metadata_album_artist_name,master_metadata_track_name
Trippie Redd,Dark Knight Dummo (Feat. Travis Scott)
Lil Yachty,Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It)
Future,Because of You
CHASE B,Cafeteria (feat. Gunna)
Playboi Carti,Right Now (feat. Pi'erre Bourne)
"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama)
Drake,Passionfruit
Drake,One Dance
Drake,With You
Drake,Childs Play
Drake,Controlla
Drake,Hype
Ne-Yo,U 2 Luv
Lil Uzi Vert,Grab the Wheel
Don Toliver,Backend
iann dior,Pretty Girls
DaBaby,PRACTICE
Young Nudy,Mini Me
NAV,Champion (feat. Travis Scott)
Young Nudy,Perc 30
Young Nudy,The Rustlers
Lil Uzi Vert,Money Longer
PARTYNEXTDOOR,NOTHING LESS
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg)
iann dior,Stay For A While
Cordae,More Life (feat. Q Tip)
Big Sean,Don Life (feat. Lil Wayne)
"Tyler, The Creator",CORSO
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)
Big Sean,Still I Rise (feat. Dom Kennedy)
iann dior,Lately
iann dior,Problems
SlatttKarti,Arm 'N Leg
Trilla Kid,Zoom
Lil Tecca,why u look mad
Kid Cudi,Pursuit Of Happiness (Nightmare)
Kid Cudi,Sept. 16
Trippie Redd,Good Morning
Kid Cudi,4 Da Kidz
Kid Cudi,Another Day
Post Malone,Goodbyes (feat. Young Thug)
Don Toliver,Wasted
Juice WRLD,The Bees Knees
Billie Eilish,all the good girls go to hell
iann dior,Feel It Coming
Dayglow,Can I Call You Tonight?
Diddy - Dirty Money,Coming Home
Adele,Rolling in the Deep
iann dior,Darkside
Zedd,Stay
Maroon 5,Daylight
M.I.A.,Paper Planes
Mr. Probz,Waves - Robin Schulz Radio Edit
Post Malone,Stay
JAWNY,Honeypie
Billie Eilish,when the party's over
Sam Silver,New Beginnings
The 1975,The Sound
DJ Scheme,How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God)
Avicii,Wake Me Up
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
Snakehips,All My Friends (feat. Tinashe & Chance the Rapper)
Neon Trees,Everybody Talks
Miami Horror,Dark Love (feat. Danny Pratt)
Meghan Trainor,I Love Me
Tigertown,Lonely Cities
Dominic Fike,3 Nights
Far East Movement,Like A G6
iann dior,Searching
Black Eyed Peas,I Gotta Feeling
Future,Bankroll
Kanye West,Flashing Lights
Far East Movement,Rocketeer
Stokeswood,Forget
Lil Uzi Vert,Got The Guap (feat. Young Thug)
Young Thug,Light It Up
Train,Play That Song
B.o.B,Airplanes (feat. Hayley Williams of Paramore)
Clean Bandit,Rather Be (feat. Jess Glynne)
Paramore,Ain't It Fun
"Now, Now",Thread
BØRNS,Electric Love
Mike Posner,Cooler Than Me - Single Mix
Kanye West,I Wonder
Mike Posner,Please Don't Go
Capital Cities,Safe And Sound
USHER,OMG (feat. will.i.am)
Jason Derulo,Trumpets
Calvin Harris,Thinking About You (feat. Ayah Marar)
Gwen Stefani,The Sweet Escape
The Moth & The Flame,Red Flag
Maroon 5,Payphone
Calvin Harris,Summer
Bill Withers,Lovely Day
Lil Uzi Vert,Ps & Qs
XAE.Miami,MISS THE RAGE
Meek Mill,Going Bad (feat. Drake)
Kid Cudi,Heaven On Earth
Playboi Carti,Die4Guy
Lil Yachty,NBAYOUNGBOAT
Playboi Carti,Over
Future,Real Baby Pluto
Cordae,Kung Fu
Modjo,Lady - Hear Me Tonight
Ama Lou,TBC
B.o.B,Nothin' on You (feat. Bruno Mars)
Coldplay,Clocks
Daft Punk,One More Time
CRO,Melodie
LCD Soundsystem,Dance Yrself Clean
Vance Joy,Riptide
Kid Cudi,Day 'N' Nite (nightmare)
Yuksek,Truth
Ingrid Michaelson,Girls Chase Boys
fun.,We Are Young (feat. Janelle Monáe)
Grimes,California
Miley Cyrus,Malibu
The Head And The Heart,Rivers and Roads
iann dior,who cares
Billie Eilish,wish you were gay
WALK THE MOON,Shut Up and Dance
Grimes,Kill V. Maim
Calvin Harris,Let's Go (feat. Ne-Yo)
Post Malone,Allergic
Calvin Harris,Feel So Close - Radio Edit
Wallows,Are You Bored Yet? (feat. Clairo)
Cold War Kids,Hang Me Up To Dry
Kid Cudi,Tequila Shots
MisterWives,SUPERBLOOM
PinkPantheress,Pain
Robin Schulz,Sugar (feat. Francesco Yates)
Zedd,The Middle
Kanye West,Ghost Town
GROUPLOVE,Tongue Tied
DaBaby,Red Light Green Light
Lil Skies,No Rainy Days
American Authors,Best Day Of My Life
Calvin Harris,One Kiss (with Dua Lipa)
Ski Mask The Slump God,Intro
Ski Mask The Slump God,ADMIT IT
"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne)
Ski Mask The Slump God,The Matrix
Ski Mask The Slump God,Dr. Suess
Ski Mask The Slump God,Fire Hazard
Ski Mask The Slump God,Lost In Time
Ski Mask The Slump God,Merlin’s Staff
Lil Yachty,Love Music
Ski Mask The Slump God,Ya!
Ski Mask The Slump God,Mental Magneto
"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown)
"Tyler, The Creator",MASSA
"Tyler, The Creator",RISE! (feat. DAISY WORLD)
"Tyler, The Creator",MANIFESTO (feat. Domo Genesis)
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)
"Tyler, The Creator",MOMMA TALK
Disclosure,Latch
"Tyler, The Creator",BLESSED
Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers)
Lorde,Royals
iann dior,Never Is Enough
Owl City,Good Time
Tame Impala,The Less I Know The Better
Badenya Sayba et Yacou,Dounia
Badenya Sayba et Yacou,Djanfa
Badenya Sayba et Yacou,Fiman nin fiman
Badenya Sayba et Yacou,Allah ka ke do
Masatoshi Ono,Departure!
Bruno Mars,Just the Way You Are
Zedd,Clarity
Calvin Harris,My Way
Lil Yachty,66
Kid Cudi,Damaged
Lil Yachty,Hybrid (feat. Baby Tron)
Lil Uzi Vert,No Sleep Leak
The Weeknd,Six Feet Under
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Kid Cudi,Elsie's Baby Boy (flashback)
Cordae,Dream in Color
Young Thug,What's the Move (feat. Lil Uzi Vert)
Billie Eilish,lovely (with Khalid)
Ellie Goulding,Burn
Billie Eilish,bury a friend
Brent Faiyaz,Rehab (Winter In Paris)
SSGKobe,Again
Foster The People,Pumped Up Kicks
Kid Cudi,Lord I Know
Young Thug,Die Today
Juice WRLD,Who Shot Cupid?
Gotye,Somebody That I Used To Know
OneRepublic,Secrets
Avicii,Levels - Radio Edit
Marcus Marr,Learning For Your Love
Kidd G,Teenage Dream 2 (with Lil Uzi Vert)
NGeeYL,Off-White (feat. Lil Uzi Vert)
Pi’erre Bourne,YNS
Pi’erre Bourne,Practice
Pi’erre Bourne,HULU
SpotemGottem,Beat Box 4 (with NLE Choppa)
Pi’erre Bourne,Couch
Pi’erre Bourne,42
Pi’erre Bourne,Biology 101
Pi’erre Bourne,Intro
Kanye West,All Of The Lights
Kid Cudi,She Knows This
PARTYNEXTDOOR,SPLIT DECISION
Lil Uzi Vert,7AM
B.o.B,Magic (feat. Rivers Cuomo)
Lil Yachty,Lemon Head
Playboi Carti,Choppa Won't Miss (feat. Young Thug)
Trippie Redd,Back of My Mind
Lil Uzi Vert,Top
Sheck Wes,Live Sheck Wes
Drake,Losses
Young Stoner Life,Came and Saw (feat. Rowdy Rebel)
NAV,Some Way
Young Nudy,Colombian Necktie
Future,7 Am Freestyle
21 Savage,Slidin
Young Stoner Life,GFU (feat. Yung Kayo)
Lil Uzi Vert,Come This Way
Cordae,Been Around
XXXTENTACION,$$$ - with Matt Ox
mgk,Candy (feat. Trippie Redd)
Playboi Carti,F33l Lik3 Dyin
Sheck Wes,Kyrie
Cordae,Thanksgiving
The Weeknd,Hardest To Love
Future,Marni On Me
Young Nudy,DR. EV4L
Gunna,ONE WATCH (feat. Young Thug)
Drake,Nice For What
Cordae,Thousand Words
Bas,The Jackie (with J. Cole & Lil Tjay)
Young Stoner Life,Proud of You (feat. Lil Uzi Vert & Yung Kayo)
Billie Eilish,everything i wanted
PARTYNEXTDOOR,LOYAL (feat. Drake)
MAX,Blueberry Eyes (feat. SUGA of BTS)
Brent Faiyaz,Let Me Know
Offset,Clout (feat. Cardi B)
Brent Faiyaz,First World Problemz / Nobody Carez
Metro Boomin,10 Freaky Girls (with 21 Savage)
Lil Yachty,Coffin
Trippie Redd,Under Enemy Arms
